7zip 24.09-3
kitinerary 24.12.3-5
kjobwidgets 6.12.0-1
kjobwidgets5 5.116.0-1
kldap 24.12.3-1
kmbox 24.12.3-1
kmime 24.12.3-1
kmod 34.2-1
knewstuff 6.12.0-1
knewstuff5 5.116.0-3
knotifications 6.12.0-2
knotifications5 5.116.0-1
knotifyconfig 6.12.0-1
knotifyconfig5 5.116.0-1
kontactinterface 24.12.3-1
kopeninghours 24.12.3-1
kpackage 6.12.0-1
kpackage5 5.116.0-1
kparts 6.12.0-1
kparts5 5.116.0-1
kpeople 6.12.0-1
kpimtextedit 24.12.3-1
kpkpass 24.12.3-1
kplotting5 5.116.0-1
kpmcore 24.12.3-1
kpty 6.12.0-1
kpty5 5.116.0-1
kpublictransport 24.12.3-1
kqtquickcharts 24.12.3-1
kquickcharts 6.12.0-1
kquickimageeditor 0.5.1-1
krb5 1.21.3-1
krunner 6.12.0-1
ksanecore 24.12.3-1
ksanecore5 24.08.3-1
kservice 6.12.0-1
kservice5 5.116.0-1
ksmtp 24.12.3-1
kstatusnotifieritem 6.12.0-2
ksvg 6.12.0-1
ktextaddons 1.5.4-1
ktexteditor 6.12.0-1
ktexteditor5 5.116.0-1
ktexttemplate 6.12.0-1
ktextwidgets 6.12.0-1
ktextwidgets5 5.116.0-1
ktnef 24.12.3-1
kunitconversion 6.12.0-2
kunitconversion5 5.116.0-1
kuserfeedback 6.12.0-1
kwallet 6.12.0-1
kwallet5 5.116.0-1
kwayland-integration 6.3.4-1
kwayland5 5.116.0-1
kweathercore 24.12.3-1
kwidgetsaddons 6.12.0-2
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.12.0-3
kwindowsystem5 5.116.0-1
kxmlgui 6.12.0-2
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lcms2 2.17-1
ldb 2:4.22.0-1
leancrypto 1.3.0-1
lensfun 1:0.3.4-5
leptonica 1.85.0-2
less 1:668-1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
lib32-amdvlk 2025.Q1.3-1
lib32-at-spi2-core 2.56.1-1
lib32-attr 2.5.2-1
lib32-audit 4.0.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.7-1
lib32-curl 8.13.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.1-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.16.1-1
lib32-freetype2 2.13.3-3
lib32-fribidi 1.0.16-1
lib32-gamemode 1.8.2-1
lib32-gcc-libs 14.2.1+r753+g1cd744a6828f-1
lib32-gdk-pixbuf2 2.42.12-2
lib32-gettext 0.24-1
lib32-giflib 5.2.2-1
lib32-glib2 2.84.1-1
lib32-glibc 2.41+r9+ga900dbaf70f0-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.9-1
lib32-gst-plugins-base-libs 1.26.0-1
lib32-gstreamer 1.26.0-1
lib32-gtk3 1:3.24.49-1
lib32-harfbuzz 11.0.0-1
lib32-icu 76.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
